ticker,date,filename,rows_downloaded
AAPL,2023-01-15,AAPL_2023-01-15.csv,39
MSFT,2023-01-15,MSFT_2023-01-15.csv,39
GOOGL,2023-01-15,GOOGL_2023-01-15.csv,39
AMZN,2023-01-15,AMZN_2023-01-15.csv,39
META,2023-01-15,META_2023-01-15.csv,39
NVDA,2023-01-15,NVDA_2023-01-15.csv,39
JPM,2023-01-15,JPM_2023-01-15.csv,39
V,2023-01-15,V_2023-01-15.csv,39
UNH,2023-01-15,UNH_2023-01-15.csv,39
HD,2023-01-15,HD_2023-01-15.csv,39
AAPL,2023-02-14,AAPL_2023-02-14.csv,41
MSFT,2023-02-14,MSFT_2023-02-14.csv,41
GOOGL,2023-02-14,GOOGL_2023-02-14.csv,41
AMZN,2023-02-14,AMZN_2023-02-14.csv,41
META,2023-02-14,META_2023-02-14.csv,41
NVDA,2023-02-14,NVDA_2023-02-14.csv,41
JPM,2023-02-14,JPM_2023-02-14.csv,41
V,2023-02-14,V_2023-02-14.csv,41
UNH,2023-02-14,UNH_2023-02-14.csv,41
HD,2023-02-14,HD_2023-02-14.csv,41
AAPL,2023-03-16,AAPL_2023-03-16.csv,42
MSFT,2023-03-16,MSFT_2023-03-16.csv,42
GOOGL,2023-03-16,GOOGL_2023-03-16.csv,42
AMZN,2023-03-16,AMZN_2023-03-16.csv,42
META,2023-03-16,META_2023-03-16.csv,42
NVDA,2023-03-16,NVDA_2023-03-16.csv,42
JPM,2023-03-16,JPM_2023-03-16.csv,42
V,2023-03-16,V_2023-03-16.csv,42
UNH,2023-03-16,UNH_2023-03-16.csv,42
HD,2023-03-16,HD_2023-03-16.csv,42
AAPL,2023-04-15,AAPL_2023-04-15.csv,41
MSFT,2023-04-15,MSFT_2023-04-15.csv,41
GOOGL,2023-04-15,GOOGL_2023-04-15.csv,41
AMZN,2023-04-15,AMZN_2023-04-15.csv,41
META,2023-04-15,META_2023-04-15.csv,41
NVDA,2023-04-15,NVDA_2023-04-15.csv,41
JPM,2023-04-15,JPM_2023-04-15.csv,41
V,2023-04-15,V_2023-04-15.csv,41
UNH,2023-04-15,UNH_2023-04-15.csv,41
HD,2023-04-15,HD_2023-04-15.csv,41
AAPL,2023-05-15,AAPL_2023-05-15.csv,41
MSFT,2023-05-15,MSFT_2023-05-15.csv,41
GOOGL,2023-05-15,GOOGL_2023-05-15.csv,41
AMZN,2023-05-15,AMZN_2023-05-15.csv,41
META,2023-05-15,META_2023-05-15.csv,41
NVDA,2023-05-15,NVDA_2023-05-15.csv,41
JPM,2023-05-15,JPM_2023-05-15.csv,41
V,2023-05-15,V_2023-05-15.csv,41
UNH,2023-05-15,UNH_2023-05-15.csv,41
HD,2023-05-15,HD_2023-05-15.csv,41
